"subject","cong_Acc_avg","incong_Acc_avg","corr_cong_RT_avg","corr_incong_RT_avg","err_cong_RT_avg","err_incong_RT_avg","num_corr_cong_trials","num_corr_incong_trials","num_err_cong_trials","num_err_incong_trials"
5381,0.789473684210526,0.783132530120482,558.651851851852,584.669230769231,345.722222222222,376.916666666667,65,55,18,17
5383,1,0.928571428571429,495.119760479042,584.25,NA,426.083333333333,81,75,0,3
5384,0.971264367816092,0.88953488372093,471.822485207101,539.045751633987,366.4,388.947368421053,90,68,2,2
5388,0.919540229885057,0.817142857142857,535.56875,629.034965034965,429.428571428571,442.6875,73,78,10,8
5389,0.817610062893082,0.772151898734177,585.961538461538,613.377049180328,477.793103448276,469.722222222222,63,47,12,16
5390,0.925714285714286,0.84,497.487654320988,526.578231292517,416.692307692308,383.178571428571,72,71,12,15
5393,0.898089171974522,0.829931972789116,800.780141843972,837.860655737705,617.4375,629.8,54,55,7,12
5394,0.873563218390805,0.794285714285714,379.394736842105,384.661870503597,284.409090909091,279.305555555556,83,65,13,9
5395,0.912790697674419,0.911764705882353,520.350318471338,529.909677419355,472.266666666667,528.666666666667,75,75,8,5
5396,0.867924528301887,0.852564102564103,723.869565217391,787.87969924812,734.095238095238,681.565217391304,68,49,10,7
5401,0.828947368421053,0.75,671.666666666667,820.333333333333,629.538461538462,591.028571428571,51,37,10,11
5402,0.846153846153846,0.830065359477124,726.752066115703,767.015748031496,916,874.153846153846,63,49,9,13
5412,0.84,0.76878612716763,404.775510204082,417.864661654135,301.928571428571,340.075,76,66,13,11
5413,0.928994082840237,0.738372093023256,384.388535031847,470,373.666666666667,331.422222222222,79,60,9,15
5414,0.865030674846626,0.89937106918239,622.964539007092,627.699300699301,500.181818181818,596.5,64,64,10,5
5419,0.936046511627907,0.738372093023256,698.291925465839,749.614173228346,664.272727272727,643.111111111111,81,55,6,19
5428,0.794117647058823,0.795180722891566,495.42962962963,467.924242424242,406.542857142857,331.735294117647,64,64,14,15
5438,NA,0.627906976744186,479.054054054054,491.009259259259,506.714285714286,507.125,59,48,33,25
5440,0.970238095238095,0.898809523809524,593.337423312883,707.668874172185,598.2,720.235294117647,76,68,4,7
5443,0.936781609195402,0.93491124260355,521.521472392638,571.987341772152,383.909090909091,460.363636363636,89,64,3,5
5444,0.977011494252874,0.782352941176471,428.623529411765,491.706766917293,331.5,379.621621621622,81,66,3,11
5447,0.886075949367089,0.89041095890411,789.885714285714,872.476923076923,534.555555555556,602.1875,62,53,5,5
5455,0.919254658385093,0.907407407407407,669.905405405405,725.251700680272,567.076923076923,658.333333333333,68,72,5,3
5457,0.817647058823529,0.755813953488372,461.10071942446,545.784615384615,296.193548387097,333.904761904762,63,66,19,17
5459,0.919254658385093,0.8375,580.695945945946,614.268656716418,545.769230769231,449.192307692308,71,57,6,11
5460,0.936416184971098,0.687861271676301,400.635802469136,441.310924369748,265.272727272727,358.12962962963,83,53,9,16
5464,0.971428571428571,0.801136363636364,373.329411764706,473.560283687943,344,347.828571428571,92,65,1,11
5465,0.945454545454545,0.815286624203822,787.955128205128,869.1640625,786.555555555556,833.551724137931,66,58,4,10
5477,0.971428571428571,0.752873563218391,365.505882352941,428.839694656489,320.4,330.418604651163,84,64,5,15
5479,0.857142857142857,0.710843373493976,578.5,609.618644067797,444.434782608696,489.3125,64,53,12,22
5481,0.931034482758621,0.784090909090909,385.734567901235,432.311594202899,370.666666666667,326.078947368421,87,62,5,14
5482,0.902857142857143,0.626436781609195,367.120253164557,418.211009174312,291.294117647059,310.969230769231,78,63,6,20
5505,0.931034482758621,0.834285714285714,392.493827160494,442.808219178082,335.75,379.172413793103,82,67,7,11
